word,score,context_dependent,note
規模の経済,0.6,false,
経費削減,0.5,false,
固定費削減,0.6,false,
変動費削減,0.5,false,
人件費削減,0.4,false,
材料費削減,0.5,false,
調達コスト削減,0.6,false,
上方修正,0.7,false,
下方修正,-0.6,false,
予想修正,0.0,false,
見通し改善,0.6,false,
見通し悪化,-0.6,false,
戦略,0.2,false,
期連続,0.3,false,
年連続,0.4,false,
四半期連続,0.3,false,
月連続,0.2,false,
年ぶり,0.3,false,
大幅に,0.0,false,他の語彙を修飾
大きく,0.0,false,他の語彙を修飾
大変,0.0,false,他の語彙を修飾
非常に,0.0,false,他の語彙を修飾
極めて,0.0,false,他の語彙を修飾
著しく,0.0,false,他の語彙を修飾
顕著に,0.0,false,他の語彙を修飾
明らかに,0.0,false,他の語彙を修飾
確実に,0.6,false,
順調に,0.6,false,
着実に,0.6,false,
継続的に,0.5,false,
持続的に,0.6,false,
安定的に,0.5,false,
急激に,0.0,false,他の語彙を修飾
急速に,0.6,false,
大胆に,0.6,false,
来年度,0.2,false,
安定,0.1,false,
定着,0.2,false,
浸透,0.2,false,
％以上,0.3,false,
％超,0.3,false,
％上昇,0.6,false,
％増,0.5,false,
％減,-0.5,false,
％下落,-0.6,false,
％割れ,-0.4,false,
倍以上,0.6,false,
予想,0.0,false,完全に中性
計画,0.0,false,完全に中性
実施,0.0,false,完全に中性
開始,0.0,false,完全に中性
終了,0.0,false,完全に中性
リスク管理,0.0,false,完全に中性
リスク評価,0.0,false,完全に中性
兆候,-0.3,false,
注意,-0.3,false,
及ぼす,-0.3,false,
激化,-0.2,false,
慎重,-0.2,false,
法改正,0.0,false,
制度変更,0.0,false,
MBO,0.2,false,
負債の拡大,-0.6,false,
負債の増加,-0.6,false,
仕入価格上昇,-0.6,false,
仕入価格が上昇,-0.6,false,
コスト上昇,-0.5,false,
コスト高騰,-0.5,false,
コストが高騰,-0.5,false,
ネガティブ,-0.5,false,
成長を果たせず,-0.8,false,
改善に至っていない,-0.7,false,
収益力低下,-0.8,false,
ビットコイン,0.0,false,
仮想通貨,0.0,false,
